Topic;sub1
HOUSING AND LAND USE;WOHNRAUM UND FLÄCHENNUTZUNG
HOUSING AND LAND USE;Wohnraum
HOUSING AND LAND USE;Flächennutzung und Raumplanung
LABOUR AND EMPLOYMENT;ARBEIT UND BESCHÄFTIGUNG
LABOUR AND EMPLOYMENT;Berufliche Weiterbildung
LABOUR AND EMPLOYMENT;Beschäftigung und Erwerbstätigkeit
LABOUR AND EMPLOYMENT;Beschäftigungspolitik
LABOUR AND EMPLOYMENT;Arbeitsbeziehungen und Arbeitskonflikte
LABOUR AND EMPLOYMENT;Ruhestand
LABOUR AND EMPLOYMENT;Arbeitslosigkeit
LABOUR AND EMPLOYMENT;Arbeitsbedingungen
LAW, CRIME AND LEGAL SYSTEMS;GESETZ, KRIMINALITÄT UND RECHTSSYSTEME
LAW, CRIME AND LEGAL SYSTEMS;Kriminalität und Gesetzesvollzug
LAW, CRIME AND LEGAL SYSTEMS;Gesetzgebung und Rechtssysteme
MEDIA, COMMUNICATION AND LANGUAGE;MEDIEN, KOMMUNIKATION UND SPRACHE
MEDIA, COMMUNICATION AND LANGUAGE;Informationsgesellschaft
MEDIA, COMMUNICATION AND LANGUAGE;Sprache und Sprachwissenschaft
MEDIA, COMMUNICATION AND LANGUAGE;Medien
MEDIA, COMMUNICATION AND LANGUAGE;Öffentlichkeitsarbeit/Public Relations
NATURAL ENVIRONMENT;UMWELT UND NATUR
NATURAL ENVIRONMENT;Energiequellen und natürliche Rohstoffquellen
NATURAL ENVIRONMENT;Umweltschutz und Naturschutz
NATURAL ENVIRONMENT;Naturlandschaften
NATURAL ENVIRONMENT;Pflanzen und Tiere
POLITICS;POLITIK
POLITICS;Konflikte, Sicherheit und Frieden
POLITICS;Wahlen
POLITICS;Regierung, politische Systeme, Parteien und Organisationen
POLITICS;Internationale Politik und Internationale Organisationen
POLITICS;Politisches Verhalten und politische Einstellungen
POLITICS;Politische Ideologie
PSYCHOLOGY;PSYCHOLOGIE
SCIENCE AND TECHNOLOGY;WISSENSCHAFT UND TECHNIK
SCIENCE AND TECHNOLOGY;Biotechnologie
SCIENCE AND TECHNOLOGY;Informations- und Kommunikationstechnologie
SOCIAL STRATIFICATION AND GROUPINGS;SOZIALE SCHICHTUNG UND GRUPPIERUNGEN
SOCIAL STRATIFICATION AND GROUPINGS;Kinder
SOCIAL STRATIFICATION AND GROUPINGS;Ältere Menschen
SOCIAL STRATIFICATION AND GROUPINGS;Eliten und Führungspersönlichkeiten
SOCIAL STRATIFICATION AND GROUPINGS;Gleichheit, Ungleichheit und soziale Ausgrenzung
SOCIAL STRATIFICATION AND GROUPINGS;Familie und Ehe
SOCIAL STRATIFICATION AND GROUPINGS;Geschlecht und Geschlechterrollen
SOCIAL STRATIFICATION AND GROUPINGS;Minderheiten
SOCIAL STRATIFICATION AND GROUPINGS;Soziale und berufliche Mobilität
SOCIAL STRATIFICATION AND GROUPINGS;Jugend
SOCIAL WELFARE POLICY AND SYSTEMS;SOZIALPOLITIK, SOZIALFÜRSORGE UND SOZIALSYSTEME
SOCIAL WELFARE POLICY AND SYSTEMS;Sozialpolitik
SOCIAL WELFARE POLICY AND SYSTEMS;Sozialsysteme und Strukturen der Sozialfürsorge
SOCIAL WELFARE POLICY AND SYSTEMS;Inanspruchnahme sozialer Dienstleistungen
SOCIETY AND CULTURE;GESELLSCHAFT UND KULTUR
SOCIETY AND CULTURE;Gemeinde, Wohnumgebung, Stadtleben und Landleben
SOCIETY AND CULTURE;Kulturelle Aktivitäten und kulturelle Teilhabe
SOCIETY AND CULTURE;Kulturelle und nationale Identität
SOCIETY AND CULTURE;Freizeit, Tourismus und Sport
SOCIETY AND CULTURE;Religion und Werte
SOCIETY AND CULTURE;Soziales Verhalten und soziale Einstellungen
SOCIETY AND CULTURE;Sozialer Wandel
SOCIETY AND CULTURE;Soziale Lage und soziale Indikatoren
SOCIETY AND CULTURE;Zeitbudget
TRADE, INDUSTRY AND MARKETS;HANDEL, INDUSTRIE UND MÄRKTE
TRADE, INDUSTRY AND MARKETS;Landwirtschaft und Agrarindustrie
TRADE, INDUSTRY AND MARKETS;Management und Organisation von Betrieben
TRADE, INDUSTRY AND MARKETS;Außenhandel
TRANSPORT AND TRAVEL;TRANSPORT UND REISEN
OTHER;SONSTIGES
